now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3258425494519,1,1370,27992,0,0,1,0,0,1,2782189156,18446744073709551615
3258431165169,38,1370,30047,0,0,2,0,0,1,2782189193,7830808
3258454254227,1408,1370,43249,1,5554,3,0,0,1,2782204263,7295237
3258454323666,2778,1370,54869,1,5554,4,0,0,0,2782205633,5575157
3258454334784,4148,1370,65048,1,5554,5,0,0,0,2782205633,4793963
3258454342558,5518,1370,73962,1,5554,6,0,0,0,2782205633,4380764
3258454392870,6888,1370,81812,4,17045,7,0,0,0,2782213853,4149157
3258459223211,6888,1370,93441,5,17095,8,0,0,0,2782216593,4018970
3258459326625,6888,1370,103719,5,17095,9,0,0,0,2782217963,3518797
3258459341529,10998,1370,112728,7,22029,10,0,0,0,2782217963,3381444
3258459367394,12368,1370,120636,8,22044,11,0,0,0,2782217963,2916755
3258459376205,13738,1370,127565,9,22070,12,0,0,0,2782217963,2725554
3258459384625,15108,1370,122968,10,22079,13,0,0,0,2782217963,2577509
3258459456294,16478,1370,112757,11,22087,14,0,0,0,2782226183,2852124
3258459485870,17848,1370,103800,11,16999,15,0,0,0,2782227553,3110405
3258459501152,19218,1370,95978,9,17051,16,0,0,0,2782228923,3378805
3258459519249,20588,1370,89152,10,17051,17,0,0,0,2782230293,3654170
3258459543705,21958,1370,83203,11,17051,18,0,0,0,2782233033,4179827
3258459556832,23328,1370,78011,12,17051,19,0,0,0,2782233033,4478684
3258486412253,24698,1370,100324,13,17051,20,0,0,0,2782235773,4776762
3258486459574,26068,1370,119791,14,32070,21,0,0,0,2782235773,3714365
3258508196242,27438,1370,158562,14,32067,22,0,0,0,2782239883,3293736
3258508297952,30178,1370,187771,15,53804,24,0,0,0,2782242623,2626606
3258508312076,32918,1370,213212,11,48913,26,0,0,0,2782242623,2451496
3258508373879,35658,1370,235534,13,48928,28,0,0,0,2782253583,2364594
3258508389462,37028,1370,255082,15,48989,29,0,0,0,2782253583,2326628
3258508398241,39768,1370,272122,16,49005,31,0,0,0,2782253583,2234261
3258512633417,42508,1370,291234,16,48913,33,0,0,0,2782253583,2255458
3258512799130,43878,1370,308104,16,53114,34,0,0,0,2782271393,2257978
3258517699802,46618,1370,305274,17,53280,36,0,0,0,2782271393,2205489
3258523605417,49358,1370,284347,17,58143,38,0,0,0,2782271393,2369543
3258523658937,50728,1370,266089,17,51921,39,0,0,0,2782271393,2698111
3258523676009,53468,1370,248267,18,51921,41,0,0,0,2782271393,2965624
3258523873695,56208,1370,232786,19,53785,43,0,0,0,2782294683,3355097
3258529028007,57578,1370,224395,17,48921,44,0,0,0,2782294683,3578222
3258529084123,58948,1370,217109,18,48921,45,0,0,0,2782294683,3712025
3258529100998,60318,1370,210750,19,48921,46,0,0,0,2782294683,3937561
3258529113043,61688,1370,205199,20,48921,47,0,0,0,2782294683,4056370
3258529120924,63058,1370,200349,21,48921,48,0,0,0,2782294683,4166102
3258529129031,64428,1370,196114,22,48921,49,0,0,0,2782294683,4266954
3258529137675,65798,1370,188066,23,48921,50,0,0,0,2782294683,4470868
3258529161538,67168,1370,181048,17,53146,51,0,0,0,2782294683,4662193
3258529169715,68538,1370,174915,18,53146,52,0,0,0,2782294683,4842914
3258533913225,69908,1370,174293,19,53146,53,0,0,0,2782294683,5012720
3258554057627,71278,1370,193893,20,53146,54,0,0,0,2782315233,5156374
3258554100580,72648,1370,211086,21,53146,55,0,0,0,2782315233,4635133
3258554113146,74018,1370,226143,22,53146,56,0,0,0,2782315233,4257601
3258554123387,75388,1370,239328,23,53146,57,0,0,0,2782315233,3974122
3258554131322,76758,1370,250872,24,53146,58,0,0,0,2782315233,3846770
3258554137469,78128,1370,260979,25,53146,59,0,0,0,2782315233,3669759
3258554142757,79498,1370,269828,26,53146,60,0,0,0,2782315233,3527640
3258554148177,80868,1370,277577,27,53146,61,0,0,0,2782315233,3411951
3258554153623,82238,1370,284362,28,53146,62,0,0,0,2782315233,3395670
3258564144304,83608,1370,289276,29,53146,63,0,0,0,2782315233,3314648
3258564186278,84978,1370,293618,22,40468,64,0,0,0,2782315233,3258341
3258564203545,86348,1370,297434,23,40510,65,0,0,0,2782315233,3210157
3258564220070,87718,1370,300790,24,40527,66,0,0,0,2782315233,3242668
3258579093893,90458,1370,318600,25,40544,68,0,0,0,2782315233,3206489
3258579135225,93198,1370,334225,27,55417,70,0,0,0,2782315233,3027244
3258579153900,95938,1370,347915,29,55459,72,0,0,0,2782315233,2951305
3258599639472,98678,1370,380380,31,55477,74,0,0,0,2782337153,2835175
3258599692258,101418,1370,408840,33,75963,76,0,0,0,2782337153,2650822
3258599708676,104158,1370,433758,35,76016,78,0,0,0,2782337153,2466294
3258599722976,105528,1370,455576,37,76032,79,0,0,0,2782337153,2375149
3258614886518,108268,1370,479463,38,76046,81,0,0,0,2782337153,2261400
3258614952069,111008,1370,500431,28,80973,83,0,0,0,2782337153,2194455
3258614967199,113748,1370,518793,30,81039,85,0,0,0,2782337153,2102507
3258614979365,116488,1370,534871,32,81054,87,0,0,0,2782337153,2070344
3258614991380,119228,1370,548952,34,81066,89,0,0,0,2782337153,2008110
3258615037501,121968,1370,561318,36,81078,91,0,0,0,2782337153,1996531
3258618951010,124708,1370,576053,38,81124,93,0,0,0,2782367293,1952547
3258618988839,126078,1370,588983,40,85038,94,0,0,0,2782367293,1940654
3258619024668,128818,1370,549025,41,85075,96,0,0,0,2782367293,1898051
3258646575925,131558,1370,541612,24,61675,98,0,0,0,2782367293,2036191
3258646626871,134298,1370,535177,26,67422,100,0,0,0,2782367293,2104532
3258646642210,137038,1370,529562,28,67473,102,0,0,0,2782367293,2129837
3258646657705,139778,1370,524664,30,67489,104,0,0,0,2782367293,2193813
3258646670226,142518,1370,520391,32,67504,106,0,0,0,2782367293,2214293
3258646682738,145258,1370,516665,34,67517,108,0,0,0,2782367293,2274597
3258646694886,147998,1370,513416,36,67529,110,0,0,0,2782367293,2291000
3258667451334,150738,1370,500583,38,67541,112,0,0,0,2782386473,2348193
3258667500022,152108,1370,489404,21,82055,113,0,0,0,2782386473,2408391
3258667518319,153478,1370,479640,22,82055,114,0,0,0,2782386473,2508193
3258667535297,154848,1370,471113,23,82055,115,0,0,0,2782386473,2559252
3258667551748,156218,1370,463668,24,82055,116,0,0,0,2782386473,2605574
3258667564987,157588,1370,457167,25,82055,117,0,0,0,2782386473,2647411
3258667573397,158958,1370,451488,26,82055,118,0,0,0,2782386473,2733005
3258671641390,160328,1370,450586,27,82055,119,0,0,0,2782386473,2767382
3258671683913,161698,1370,449839,28,82055,120,0,0,0,2782386473,2772922
3258671703819,163068,1370,449206,29,82055,121,0,0,0,2782386473,2777527
3258671720270,164438,1370,448450,30,82055,122,0,0,0,2782386473,2830238
3258671734100,165808,1370,447802,31,82274,123,0,0,0,2782386473,2835009
3258671742136,167178,1370,447243,32,82274,124,0,0,0,2782386473,2839111
3258671749875,168548,1370,446761,33,82274,125,0,0,0,2782386473,2842660
