now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3108264229338,1,1370,106048,0,0,1,0,0,1,1755948779,18446744073709551615
3108275746099,38,1370,104181,0,0,2,0,0,0,1755948816,2066988
3108303039687,1408,1370,106190,1,11389,3,0,0,1,1755962516,2104030
3108303179998,2778,1370,108088,1,11389,4,0,0,0,1755965256,2270646
3108303196913,4148,1370,109765,2,15171,5,0,0,0,1755965256,2433572
3108303212345,5518,1370,111249,3,15188,6,0,0,0,1755965256,2596091
3108303274909,6888,1370,112609,4,15204,7,0,0,0,1755973476,2758496
3108303293713,8258,1370,113760,5,15266,8,0,0,0,1755973476,2919837
3108303309895,9628,1370,114783,6,15285,9,0,0,0,1755973476,3082981
3108303322140,10998,1370,115692,7,15301,10,0,0,0,1755973476,3246473
3108303375426,12368,1370,116540,8,15314,11,0,0,0,1755973476,3410434
3108303389194,13738,1370,117296,9,15367,12,0,0,0,1755973476,3573708
3108312584222,15108,1370,112119,10,15381,13,0,0,0,1755989916,3737552
3108312719280,16478,1370,107725,10,15091,14,0,0,0,1755992656,4105637
3108312736399,17848,1370,103777,11,15091,15,0,0,0,1755992656,4476583
3108312747940,19218,1370,100333,9,15211,16,0,0,0,1755992656,4858109
3108312761387,20588,1370,97334,10,15211,17,0,0,0,1755992656,5243339
3108312771744,21958,1370,94720,11,15211,18,0,0,0,1755992656,5630098
3108312854328,23328,1370,92515,12,15211,19,0,0,0,1756006356,6016891
3108312869254,24698,1370,90601,13,15211,20,0,0,0,1756006356,6397232
3108312881004,26068,1370,86778,14,15211,21,0,0,0,1756006356,6774318
3108312891318,27438,1370,83443,9,17313,22,0,0,0,1756006356,7325358
3108312966731,30178,1370,80600,10,17313,24,0,0,0,1756017316,7880828
3108312979907,32918,1370,78125,12,17313,26,0,0,0,1756017316,8702729
3108313024159,35658,1370,76005,14,17313,28,0,0,0,1756017316,9539584
3108313139642,38398,1370,74265,16,17313,30,0,0,0,1756033756,10382474
3108313213526,41138,1370,72470,18,17313,32,0,0,0,1756033756,11216050
3108331875786,43878,1370,82647,20,17659,34,0,0,0,1756044716,12098799
