now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3133407040497,1,1370,94072,0,0,1,0,0,1,3375354539,18446744073709551615
3133418550634,38,1370,93681,0,0,2,0,0,1,3375354576,2330130
3133425600216,1408,1370,88660,1,11368,3,0,0,1,3375368276,2339855
3133425706879,2778,1370,84373,1,6689,4,0,0,0,3375371016,2719602
3133425716487,4148,1370,80632,2,6795,5,0,0,0,3375371016,3117585
3133425724804,5518,1370,77366,3,6805,6,0,0,0,3375371016,3534080
3133425764837,6888,1370,74549,4,6813,7,0,0,0,3375379236,3966600
3133425776941,8258,1370,72028,5,6853,8,0,0,0,3375379236,4410521
3133425792113,9628,1370,69838,6,6865,9,0,0,0,3375379236,4869217
3133425866076,13738,1370,67996,7,6881,12,0,0,0,3375387456,5335777
3133434282924,15108,1370,68133,10,6955,13,0,0,0,3375395676,6447438
3133434385739,16478,1370,68356,10,8682,14,0,0,0,3375398416,6756197
3133434397617,17848,1370,68480,11,8785,15,0,0,0,3375398416,7054830
3133434406946,19218,1370,68597,9,8673,16,0,0,0,3375398416,7362149
3133434413775,20588,1370,68707,10,8682,17,0,0,0,3375398416,7669140
3133434420837,23328,1370,68810,11,8689,19,0,0,0,3375398416,7975897
3133434488414,24698,1370,68968,13,8696,20,0,0,0,3375414856,8601075
3133434501037,27438,1370,69051,14,8764,22,0,0,0,3375414856,8899199
3133434574752,30178,1370,69197,13,8709,24,0,0,0,3375423076,9523395
3133434587463,38398,1370,69338,15,8782,30,0,0,0,3375423076,10136855
3133434699340,41138,1370,69491,18,8721,32,0,0,0,3375444996,12013037
3133446966991,43878,1370,73448,20,8833,34,0,0,0,3375450476,12617461
3133447136254,45248,1370,76979,21,12684,35,0,0,0,3375455956,12534582
3133447157522,46618,1370,80090,16,12716,36,0,0,0,3375455956,12244378
3133447170129,47988,1370,82825,17,12737,37,0,0,0,3375455956,12042452
3133447254600,50728,1370,85302,18,12750,39,0,0,0,3375455956,11909447
3133447334475,56208,1370,87550,20,12834,43,0,0,0,3375455956,12077559
3133464953331,57578,1370,107136,24,12914,44,0,0,0,3375480616,12768932
3133465083441,58948,1370,124403,25,30533,45,0,0,0,3375483356,10639187
3133465115237,60318,1370,139544,26,30663,46,0,0,0,3375483356,9162480
3133465130758,61688,1370,152726,27,30695,47,0,0,0,3375483356,8168319
3133465145946,63058,1370,164276,25,30629,48,0,0,0,3375483356,7463300
3133465159353,64428,1370,174396,26,30644,49,0,0,0,3375483356,7072000
3133465170670,65798,1370,183262,27,30658,50,0,0,0,3375483356,6661620
3133465186959,67168,1370,191036,28,30669,51,0,0,0,3375483356,6339339
3133465196135,68538,1370,197848,29,30685,52,0,0,0,3375483356,6081366
3133465205158,69908,1370,203723,30,30695,53,0,0,0,3375483356,5982774
3133465214812,71278,1370,208873,23,30618,54,0,0,0,3375483356,5810242
3133465227693,72648,1370,213392,24,30627,55,0,0,0,3375483356,5666984
3133465240508,74018,1370,217359,25,30640,56,0,0,0,3375483356,5546974
3133465254532,75388,1370,220845,26,30653,57,0,0,0,3375483356,5546584
3133465265521,76758,1370,223906,27,30667,58,0,0,0,3375483356,5459032
3133483726439,78128,1370,245045,28,30678,59,0,0,0,3375506646,5384402
3133483775039,79498,1370,263591,29,49139,60,0,0,0,3375506646,4919912
3133483784821,80868,1370,279828,30,49188,61,0,0,0,3375506646,4656911
3133483792317,82238,1370,294043,31,49197,62,0,0,0,3375506646,4386694
3133483799725,83608,1370,306488,32,49205,63,0,0,0,3375506646,4174627
3133483807205,84978,1370,317385,33,49212,64,0,0,0,3375506646,4005116
3133483814433,86348,1370,326927,34,49220,65,0,0,0,3375506646,3936669
3133483822734,87718,1370,335285,35,49227,66,0,0,0,3375506646,3821770
3133483830273,89088,1370,342606,36,49235,67,0,0,0,3375506646,3726501
3133483837462,90458,1370,349019,37,49243,68,0,0,0,3375506646,3646871
3133483845852,91828,1370,354530,38,49250,69,0,0,0,3375506646,3642667
3133483853241,93198,1370,359360,37,49146,70,0,0,0,3375506646,3586043
3133483860743,94568,1370,363593,38,49154,71,0,0,0,3375506646,3537845
3133483867985,95938,1370,367304,39,49161,72,0,0,0,3375506646,3496656
3133483876043,97308,1370,358230,40,49168,73,0,0,0,3375506646,3521007
3133483894264,98678,1370,350309,39,36910,74,0,0,0,3375506646,3610194
3133483905230,100048,1370,343389,40,36928,75,0,0,0,3375506646,3691826
3133483925633,101418,1370,337354,41,36939,76,0,0,0,3375506646,3766224
3133483937273,102788,1370,331776,42,36959,77,0,0,0,3375506646,3898575
3133483947437,105528,1370,326905,34,36603,79,0,0,0,3375506646,3964120
3133497045171,108268,1370,335741,36,36613,81,0,0,0,3375536786,4023187
3133497087430,111008,1370,343515,38,49711,83,0,0,0,3375536786,3982593
3133497098737,113748,1370,350328,40,49753,85,0,0,0,3375536786,3892464
3133497108121,116488,1370,356299,42,49764,87,0,0,0,3375536786,3879335
3133497119100,119228,1370,361535,44,49774,89,0,0,0,3375536786,3814324
3133497126679,121968,1370,366124,46,49785,91,0,0,0,3375536786,3819713
3133497133824,124708,1370,370146,48,49792,93,0,0,0,3375536786,3771836
3133497140986,126078,1370,373672,50,49799,94,0,0,0,3375536786,3790072
3133497150185,128818,1370,359125,51,49806,96,0,0,0,3375536786,3754308
3133497158432,131558,1370,330464,52,32197,98,0,0,0,3375536786,3967420
3133497318837,134298,1370,305545,40,46330,100,0,0,0,3375569666,4311513
3133497328985,137038,1370,283751,42,46330,102,0,0,0,3375569666,4734883
3133497336432,139778,1370,264690,44,46330,104,0,0,0,3375569666,5098554
3133497343877,142518,1370,248018,46,46330,106,0,0,0,3375569666,5548528
3133497351185,145258,1370,233438,48,46330,108,0,0,0,3375569666,5921505
3133497358445,147998,1370,220688,50,46330,110,0,0,0,3375569666,6385250
3133497365568,150738,1370,209538,52,46330,112,0,0,0,3375569666,6754150
3133497372628,152108,1370,199789,54,46330,113,0,0,0,3375569666,7218165
3133502320528,154848,1370,192032,55,46330,115,0,0,0,3375569666,7570386
3133502532987,156218,1370,185456,36,37758,116,0,0,0,3375603916,7876187
3133502544205,157588,1370,179714,37,37758,117,0,0,0,3375603916,8273660
3133502551622,158958,1370,174697,38,37758,118,0,0,0,3375603916,8538010
3133502559378,160328,1370,170315,39,37758,119,0,0,0,3375603916,8783207
3133502566642,161698,1370,166488,40,37758,120,0,0,0,3375603916,9009188
3133502573794,163068,1370,163146,41,37758,121,0,0,0,3375603916,9347940
3133502581344,164438,1370,160230,42,37758,122,0,0,0,3375603916,9539430
3133502592153,165808,1370,157690,43,37758,123,0,0,0,3375603916,9713037
3133502599318,167178,1370,155474,44,37758,124,0,0,0,3375603916,9869490
3133502606822,168548,1370,153542,45,37758,125,0,0,0,3375603916,10151150
3133532534307,169918,1370,181780,46,37758,126,0,0,0,3375603916,10278881
3133532590048,171288,1370,206544,47,48587,127,0,0,0,3375603916,8682143
3133532609221,172658,1370,228231,48,48643,128,0,0,0,3375603916,7641180
3133532625686,174028,1370,247224,49,48662,129,0,0,0,3375603916,7011142
3133563466859,175398,1370,294683,50,48678,130,0,0,0,3375603916,6472510
3133563509246,176768,1370,336253,51,79519,131,0,0,0,3375603916,5430106
3133563519052,178138,1370,372637,52,79562,132,0,0,0,3375603916,4758797
3133563526579,179508,1370,404480,53,79572,133,0,0,0,3375603916,4352976
3133563533917,180878,1370,432349,54,79579,134,0,0,0,3375603916,4010284
3133563543872,182248,1370,456745,55,79586,135,0,0,0,3375603916,3751783
3133563552865,183618,1370,466038,56,79596,136,0,0,0,3375603916,3551390
3133563560367,184988,1370,474178,38,66394,137,0,0,0,3375603916,3527609
3133563567939,186358,1370,481307,39,66402,138,0,0,0,3375603916,3467052
3133563575623,187728,1370,487553,40,66409,139,0,0,0,3375603916,3415699
3133563582691,189098,1370,493025,41,66417,140,0,0,0,3375603916,3371941
3133563589838,190468,1370,497820,42,66424,141,0,0,0,3375603916,3378976
3133563597037,191838,1370,502024,43,66431,142,0,0,0,3375603916,3346430
3133563604369,193208,1370,505709,44,66439,143,0,0,0,3375603916,3318407
3133563611580,194578,1370,508941,45,66446,144,0,0,0,3375603916,3294226
3133579939552,195948,1370,528097,46,66453,145,0,0,0,3375603916,3316376
3133586988713,197318,1370,551907,47,82781,146,0,0,0,3375628576,3196079
3133587055243,198688,1370,572808,48,89830,147,0,0,0,3375628576,3058196
3133587069085,200058,1370,591110,49,89897,148,0,0,0,3375628576,2946606
3133587085290,201428,1370,607141,50,89911,149,0,0,0,3375628576,2892456
3133606772904,202798,1370,640855,51,89927,150,0,0,0,3375650496,2816083
3133606949963,204168,1370,670532,52,109614,151,0,0,0,3375664196,2667935
3133606967100,205538,1370,696517,53,109791,152,0,0,0,3375664196,2549855
3133606981089,206908,1370,719268,54,109809,153,0,0,0,3375664196,2486199
3133606991858,208278,1370,739185,55,109823,154,0,0,0,3375664196,2407558
3133607031974,209648,1370,756652,56,109833,155,0,0,0,3375664196,2342688
3133607046189,211018,1370,771951,57,109873,156,0,0,0,3375664196,2288608
3133607056794,212388,1370,785348,58,109888,157,0,0,0,3375664196,2271646
3133607069110,213758,1370,797083,59,109898,158,0,0,0,3375664196,2232895
3133607080820,215128,1370,807362,60,109911,159,0,0,0,3375664196,2200021
3133607096279,216498,1370,811169,61,109922,160,0,0,0,3375664196,2172012
3133607229086,217868,1370,814633,45,104776,161,0,0,0,3375680636,2188841
3133607248791,219238,1370,817683,46,104909,162,0,0,0,3375680636,2179533
3133607262452,220608,1370,820366,47,104928,163,0,0,0,3375680636,2171403
3133607274871,221978,1370,822726,48,104942,164,0,0,0,3375680636,2164302
3133607287734,223348,1370,824804,49,104954,165,0,0,0,3375680636,2184737
3133607299028,224718,1370,826634,50,104967,166,0,0,0,3375680636,2179232
3133607310366,226088,1370,828246,51,104979,167,0,0,0,3375680636,2174408
3133607321559,227458,1370,829668,52,104990,168,0,0,0,3375680636,2170176
3133607334870,228828,1370,830925,53,105001,169,0,0,0,3375680636,2192877
3133607348556,230198,1370,832039,54,105014,170,0,0,0,3375680636,2189559
3133607365552,231568,1370,833031,55,105028,171,0,0,0,3375680636,2186628
3133607377189,232938,1370,833911,56,105045,172,0,0,0,3375680636,2184024
3133607388708,234308,1370,834692,57,105057,173,0,0,0,3375680636,2208005
3133607399194,235678,1370,835386,58,105068,174,0,0,0,3375680636,2205939
3133607409082,237048,1370,836003,59,105079,175,0,0,0,3375680636,2204106
3133607419370,238418,1370,836553,60,105089,176,0,0,0,3375680636,2202480
