now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3114553679742,1,1370,28112,0,0,1,0,0,1,2347570873,18446744073709551615
3114559246493,38,1370,30011,0,0,2,0,0,1,2347570910,7797381
3114586284589,1408,1370,46552,1,5413,3,0,0,1,2347585980,7303988
3114586414215,2778,1370,61155,1,5413,4,0,0,0,2347587350,5179584
3114586430793,4148,1370,73949,1,5413,5,0,0,0,2347587350,4301201
3114586443966,5518,1370,85157,1,5413,6,0,0,0,2347587350,3853466
3114586520238,6888,1370,95041,4,20451,7,0,0,0,2347595570,3603696
3114586555782,8258,1370,103630,5,20528,8,0,0,0,2347595570,3459559
3114586649063,13738,1370,111240,6,20563,12,0,0,0,2347601050,3384348
3114586725671,15108,1370,107031,10,20657,13,0,0,0,2347612010,3941028
3114595802893,16478,1370,103112,11,20733,14,0,0,0,2347613380,4096009
3114595926657,17848,1370,99695,11,20351,15,0,0,0,2347614750,4251687
3114595945484,19218,1370,96725,9,20462,16,0,0,0,2347614750,4397412
3114595959213,20588,1370,94140,10,20462,17,0,0,0,2347614750,4759059
3114595969986,21958,1370,91888,11,20462,18,0,0,0,2347614750,4889738
3114595983384,23328,1370,89931,12,20462,19,0,0,0,2347614750,5009576
3114595994538,24698,1370,88230,13,20462,20,0,0,0,2347614750,5118590
3114596104205,26068,1370,86723,14,20462,21,0,0,0,2347625710,5465714
3114596119951,27438,1370,85419,13,20497,22,0,0,0,2347625710,5560693
3114596132848,30178,1370,84291,14,20497,24,0,0,0,2347625710,5902199
3114596208450,32918,1370,83300,16,20497,26,0,0,0,2347635300,6501287
3114596228284,35658,1370,82453,14,20577,28,0,0,0,2347635300,7104921
3114598126674,38398,1370,83610,16,20577,30,0,0,0,2347635300,7709604
3114598311352,41138,1370,84807,18,20577,32,0,0,0,2347651740,8127257
3114598346389,42508,1370,79645,20,20577,33,0,0,0,2347651740,8529484
3114642890398,43878,1370,116723,20,15879,34,0,0,0,2347661330,9357524
3114643062268,45248,1370,149164,20,47088,35,0,0,0,2347662700,6572826
3114643078800,46618,1370,177566,15,47068,36,0,0,0,2347662700,5290284
3114643099102,47988,1370,202439,16,47084,37,0,0,0,2347662700,4567541
3114643115312,49358,1370,224219,17,47105,38,0,0,0,2347662700,4114622
3114643124558,50728,1370,243285,18,47121,39,0,0,0,2347662700,3812700
3114643138185,52098,1370,259982,19,47130,40,0,0,0,2347662700,3604003
3114643153515,53468,1370,274607,20,47144,41,0,0,0,2347662700,3456854
3114643175622,54838,1370,287426,21,47159,42,0,0,0,2347662700,3272749
3114643192036,56208,1370,298549,22,47181,43,0,0,0,2347662700,3126787
3114643207449,57578,1370,308297,19,47060,44,0,0,0,2347662700,3083714
3114643357808,58948,1370,316976,20,47075,45,0,0,0,2347685990,2986211
3114643385861,61688,1370,324598,21,47225,47,0,0,0,2347685990,2904447
3114643397815,64428,1370,331280,23,47253,49,0,0,0,2347685990,2903776
3114643411860,67168,1370,335117,25,47265,51,0,0,0,2347685990,2845206
3114643441679,69908,1370,338505,21,45285,53,0,0,0,2347685990,2878039
3114643455855,72648,1370,341483,23,45315,55,0,0,0,2347685990,2849234
3114643469988,75388,1370,344103,25,45329,57,0,0,0,2347685990,2888577
3114643508378,78128,1370,346435,27,45343,59,0,0,0,2347685990,2866583
3114643527769,80868,1370,348494,29,45382,61,0,0,0,2347685990,2910560
3114643538806,83608,1370,350115,31,45401,63,0,0,0,2347685990,2893364
3114643563939,86348,1370,351558,30,45192,65,0,0,0,2347685990,2942576
3114643586036,89088,1370,352844,32,45217,67,0,0,0,2347685990,2930497
3114672506747,91828,1370,360221,34,45240,69,0,0,0,2347709280,2981941
3114672582041,93198,1370,344561,35,47093,70,0,0,0,2347709280,2920873
3114672598320,94568,1370,330874,26,47074,71,0,0,0,2347709280,3053624
3114672610071,95938,1370,318910,27,47074,72,0,0,0,2347709280,3246190
3114672620257,97308,1370,308452,28,47074,73,0,0,0,2347709280,3367972
3114672631516,98678,1370,299312,29,47074,74,0,0,0,2347709280,3482162
3114689398472,100048,1370,308081,30,47074,75,0,0,0,2347736680,3588496
3114689450441,101418,1370,315806,31,47074,76,0,0,0,2347736680,3557505
3114689467157,102788,1370,322583,32,47074,77,0,0,0,2347736680,3470485
3114689484622,104158,1370,328530,33,47074,78,0,0,0,2347736680,3465526
3114689497430,105528,1370,333746,34,47074,79,0,0,0,2347736680,3469515
3114689510114,106898,1370,338323,35,47074,80,0,0,0,2347736680,3480970
3114689522048,108268,1370,342340,36,47074,81,0,0,0,2347736680,3498668
3114689682363,109638,1370,346015,37,47074,82,0,0,0,2347754490,3521645
3114689702275,111008,1370,349251,38,47074,83,0,0,0,2347754490,3547591
3114689715030,112378,1370,352095,39,47074,84,0,0,0,2347754490,3577484
3114689727345,113748,1370,354596,40,47074,85,0,0,0,2347754490,3610843
3114689740015,115118,1370,356797,41,47074,86,0,0,0,2347754490,3647192
3114689755588,116488,1370,344359,42,47074,87,0,0,0,2347754490,3686129
3114689768503,117858,1370,333489,20,59238,88,0,0,0,2347754490,3882924
3114689781193,119228,1370,323990,21,59238,89,0,0,0,2347754490,4075216
3114689793457,120598,1370,315691,22,59238,90,0,0,0,2347754490,4262353
3114689814368,121968,1370,308450,23,59238,91,0,0,0,2347754490,4443839
3114689827904,123338,1370,302127,24,59238,92,0,0,0,2347754490,4619225
3114689843322,124708,1370,296611,25,59238,93,0,0,0,2347754490,4788449
3114690086922,126078,1370,292027,26,59238,94,0,0,0,2347787370,4951400
3114690107222,127448,1370,288037,27,59238,95,0,0,0,2347787370,5104185
3114690131529,128818,1370,284570,28,59238,96,0,0,0,2347787370,5250992
3114690143898,130188,1370,281548,29,59238,97,0,0,0,2347787370,5391994
3114690155650,131558,1370,278916,30,59238,98,0,0,0,2347787370,5527725
3114690172098,132928,1370,276630,31,59238,99,0,0,0,2347787370,5658477
3114690183202,134298,1370,274641,32,59238,100,0,0,0,2347787370,5784477
3114690193176,135668,1370,272910,33,59238,101,0,0,0,2347787370,5906182
3114690203210,137038,1370,271406,34,59238,102,0,0,0,2347787370,6023963
3114690213266,138408,1370,270100,35,59238,103,0,0,0,2347787370,6138110
3114690234374,139778,1370,242542,36,59238,104,0,0,0,2347787370,6248944
3114690263587,141148,1370,218458,30,40815,105,0,0,0,2347787370,7049335
3114690277238,142518,1370,197398,31,40815,106,0,0,0,2347787370,7926832
3114690288816,143888,1370,178982,32,40815,107,0,0,0,2347787370,8883575
3114690299277,145258,1370,162879,33,40815,108,0,0,0,2347787370,9920103
3114690310896,146628,1370,148800,34,40815,109,0,0,0,2347787370,11035431
3114712635273,147998,1370,158805,35,40815,110,0,0,0,2347831210,12226881
3114712692301,150738,1370,167617,36,40815,112,0,0,0,2347831210,11594597
3114712708106,153478,1370,175343,38,40815,114,0,0,0,2347831210,11246591
3114712724402,156218,1370,182120,40,40815,116,0,0,0,2347831210,11001066
3114712738963,158958,1370,188063,42,40815,118,0,0,0,2347831210,10832418
3114712751087,161698,1370,193277,44,40815,120,0,0,0,2347831210,10723215
3114712762721,164438,1370,197850,46,40815,122,0,0,0,2347831210,10660761
3114712779022,165808,1370,201868,48,40815,123,0,0,0,2347831210,10635936
3114712793172,168548,1370,199899,49,40815,125,0,0,0,2347831210,10532823
3114712804636,171288,1370,198187,44,46314,127,0,0,0,2347831210,10855882
3114712828703,174028,1370,196713,46,46314,129,0,0,0,2347831210,11170863
3114712840500,176768,1370,195435,48,46314,131,0,0,0,2347831210,11477431
3114713235743,179508,1370,194712,50,46314,133,0,0,0,2347891490,11776805
3114713258158,182248,1370,194102,52,46314,135,0,0,0,2347891490,12045687
3114713270144,183618,1370,193581,54,46314,136,0,0,0,2347891490,12309404
3114713283066,186358,1370,192817,55,46314,138,0,0,0,2347891490,12455767
3114713294958,189098,1370,192159,45,32256,140,0,0,0,2347891490,12732487
3114717927144,191838,1370,196217,47,32256,142,0,0,0,2347891490,13004230
3114717981364,194578,1370,199821,49,32256,144,0,0,0,2347891490,12958714
3114717999011,197318,1370,202993,51,32256,146,0,0,0,2347891490,12944385
3114718043005,200058,1370,205812,53,32256,148,0,0,0,2347891490,12958082
3114718054849,202798,1370,208290,55,32256,150,0,0,0,2347891490,12993605
3114718066792,205538,1370,210470,57,32256,152,0,0,0,2347891490,13049498
3114718078088,208278,1370,212390,59,32256,154,0,0,0,2347891490,13122630
3114718088764,211018,1370,214080,61,32256,156,0,0,0,2347891490,13210414
3114718100094,213758,1370,215570,63,32256,158,0,0,0,2347891490,13310911
3114735760016,216498,1370,234534,65,32256,160,0,0,0,2347891490,13422275
