now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3560524794839,1,1370,133688,0,0,1,0,0,1,2195797172,18446744073709551615
3560535529111,38,1370,127584,0,0,2,0,0,1,2195797209,1639638
3560546442971,1408,1370,122182,1,10607,3,0,0,1,2195810909,1718083
3560546565655,2778,1370,117579,1,10546,4,0,0,0,2195813649,1973449
3560568564450,4148,1370,135550,2,10669,5,0,0,0,2195813649,2237134
3560568680057,5518,1370,151391,2,10669,6,0,0,0,2195819129,2102250
3560568690344,6888,1370,165262,2,10669,7,0,0,0,2195819129,2027068
3560568703177,8258,1370,177340,2,10669,8,0,0,0,2195819129,1989568
3560568786691,9628,1370,187991,2,10669,9,0,0,0,2195827349,1977670
3560568802041,13738,1370,197327,7,32890,12,0,0,0,2195827349,1982222
3560568878636,15108,1370,195045,10,32906,13,0,0,0,2195838309,2221692
3560568902924,16478,1370,193072,10,22436,14,0,0,0,2195838309,2360070
3560593048028,17848,1370,193382,11,22460,15,0,0,0,2195843789,2497721
3560593152570,19218,1370,193758,10,32708,16,0,0,0,2195846529,2607067
3560593164964,20588,1370,194099,11,32708,17,0,0,0,2195846529,2715139
3560593172553,21958,1370,194405,12,32708,18,0,0,0,2195846529,2823301
3560593181416,24698,1370,194578,13,32708,20,0,0,0,2195846529,2931611
3560593244471,27438,1370,194792,12,32740,22,0,0,0,2195860229,3154313
3560593264436,30178,1370,194999,14,32740,24,0,0,0,2195860229,3150848
3560593292028,32918,1370,195107,16,32740,26,0,0,0,2195860229,3259914
3560593302863,35658,1370,195211,14,32842,28,0,0,0,2195860229,3258109
3560593310940,38398,1370,195310,16,32842,30,0,0,0,2195860229,3368662
3560596581662,39768,1370,198668,18,32842,31,0,0,0,2195860229,3366955
3560608651398,41138,1370,213676,19,32842,32,0,0,0,2195878039,3310044
3560608746275,42508,1370,221958,20,39849,33,0,0,0,2195880779,3180141
3560608771672,43878,1370,229230,19,39844,34,0,0,0,2195880779,3061480
3560608780064,45248,1370,235602,20,39869,35,0,0,0,2195880779,2964358
3560608790971,46618,1370,241187,21,39878,36,0,0,0,2195880779,2884186
3560608797705,47988,1370,226751,22,39888,37,0,0,0,2195880779,2908282
3560608803451,49358,1370,214126,22,24481,38,0,0,0,2195880779,3093437
3560608852047,50728,1370,203028,23,24481,39,0,0,0,2195890369,3275828
3560608860071,52098,1370,193325,19,24477,40,0,0,0,2195890369,3454892
3560608868312,53468,1370,184843,20,24477,41,0,0,0,2195890369,3741678
3560608879138,54838,1370,177432,21,24477,42,0,0,0,2195890369,4031962
3560608884681,57578,1370,170952,22,24477,44,0,0,0,2195890369,4323910
3560608893903,60318,1370,165291,24,24477,46,0,0,0,2195890369,4744255
3560608976478,63058,1370,160421,26,24477,48,0,0,0,2195910919,5171969
3560608988366,65798,1370,152745,28,24477,50,0,0,0,2195910919,5602259
3560609028657,67168,1370,146068,19,27802,51,0,0,0,2195910919,6170807
3560609104379,69908,1370,140302,20,27802,53,0,0,0,2195910919,6602952
3560609119863,71278,1370,135272,22,27802,54,0,0,0,2195910919,7186782
3560609250394,72648,1370,131001,23,27802,55,0,0,0,2195932839,7616062
3560611329793,74018,1370,129343,24,27802,56,0,0,0,2195932839,8031694
3560611373733,75388,1370,127937,25,27802,57,0,0,0,2195932839,8304121
3560611392465,76758,1370,126725,26,27802,58,0,0,0,2195932839,8566716
3560611407569,78128,1370,125680,27,27802,59,0,0,0,2195932839,8821621
3560611420257,79498,1370,124778,28,27802,60,0,0,0,2195932839,9069382
3560619991392,80868,1370,132560,29,27802,61,0,0,0,2195949279,9310615
3560620056951,82238,1370,127359,30,27802,62,0,0,0,2195949279,8929390
3560620072074,83608,1370,122825,30,39877,63,0,0,0,2195949279,9466154
3560620080847,84978,1370,118744,31,39877,64,0,0,0,2195949279,9994056
3560620100713,86348,1370,115193,26,15723,65,0,0,0,2195949279,10522131
3560620108828,87718,1370,112094,27,15723,66,0,0,0,2195949279,11036781
3560620227027,89088,1370,109502,28,15723,67,0,0,0,2195965719,11537459
3560637536515,91828,1370,124543,29,15723,69,0,0,0,2195965719,12010739
3560637575743,93198,1370,137743,31,28733,70,0,0,0,2195965719,10912215
3560637599602,95938,1370,149227,32,28772,72,0,0,0,2195965719,10025627
3560637610668,98678,1370,159286,26,28706,74,0,0,0,2195965719,9547870
3560642474757,101418,1370,172952,28,28717,76,0,0,0,2195965719,9220144
3560642498202,102788,1370,184933,30,33581,77,0,0,0,2195965719,8745085
3560642520244,104158,1370,195439,31,33605,78,0,0,0,2195965719,8297058
3560642584634,105528,1370,204696,32,33627,79,0,0,0,2195965719,7963200
3560642600438,113748,1370,212811,33,33691,85,0,0,0,2195965719,7710165
3560642612811,116488,1370,219695,39,33707,87,0,0,0,2195965719,8034171
3560642922999,121968,1370,226029,33,33493,91,0,0,0,2196020519,7981975
3560647423942,124708,1370,236072,37,33803,93,0,0,0,2196020519,8146211
3560647456891,127448,1370,244892,39,38304,95,0,0,0,2196020519,7985360
3560647476148,130188,1370,252630,41,38337,97,0,0,0,2196020519,7876778
3560647492446,132928,1370,259417,43,38357,99,0,0,0,2196020519,7809048
3560647512567,135668,1370,265375,45,38373,101,0,0,0,2196020519,7773738
3560647527710,138408,1370,265531,47,38393,103,0,0,0,2196020519,7764408
3560647536003,141148,1370,265676,43,36107,105,0,0,0,2196020519,7924950
3560647544036,143888,1370,265811,45,36116,107,0,0,0,2196020519,8085638
3560674217185,146628,1370,292602,47,36124,109,0,0,0,2196078059,8246460
3560674266944,149368,1370,316093,49,62797,111,0,0,0,2196078059,7641232
3560674333809,152108,1370,336715,51,62846,113,0,0,0,2196078059,7212054
