now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3533432077091,1,1370,63344,0,0,1,0,0,1,3996637888,18446744073709551615
3533459106419,38,1370,82339,0,0,2,0,0,1,3996637925,3460469
3533477453897,1408,1370,83361,1,26913,3,0,0,1,3996651625,2662164
3533477582208,2778,1370,84384,1,11314,4,0,0,0,3996654365,2892479
3533477597001,4148,1370,85294,2,11443,5,0,0,0,3996654365,3117178
3533485430596,5518,1370,93924,3,11458,6,0,0,0,3996654365,3340914
3533485572309,6888,1370,101617,3,11458,7,0,0,0,3996662585,3267322
3533485595491,8258,1370,108308,3,11458,8,0,0,0,3996662585,3235679
3533485617519,9628,1370,114185,6,19456,9,0,0,0,3996662585,3238172
3533485716411,12368,1370,119426,7,19478,11,0,0,0,3996670805,3263475
3533485730710,13738,1370,124026,9,19577,12,0,0,0,3996670805,3487347
3533485740373,16478,1370,116757,10,19591,14,0,0,0,3996670805,3534742
3533504686425,17848,1370,121380,11,11367,15,0,0,0,3996684505,4130287
3533504801834,19218,1370,125540,9,19330,16,0,0,0,3996687245,4153567
3533504817121,20588,1370,129196,10,19371,17,0,0,0,3996687245,4190536
3533504834188,23328,1370,132412,11,19387,19,0,0,0,3996687245,4241617
3533504844649,24698,1370,135236,13,19404,20,0,0,0,3996687245,4469685
3533504929227,27438,1370,137637,14,19414,22,0,0,0,3996700945,4538436
3533504977961,30178,1370,139786,13,19422,24,0,0,0,3996706425,4777785
3533504993052,32918,1370,141682,15,19422,26,0,0,0,3996706425,5017956
3533505038709,35658,1370,143250,17,19422,28,0,0,0,3996706425,5260230
3533505070047,38398,1370,144654,14,19298,30,0,0,0,3996706425,5508691
3533505081958,41138,1370,145894,16,19330,32,0,0,0,3996706425,5758292
3533524801597,43878,1370,166699,18,19341,34,0,0,0,3996733825,6009842
3533524928542,46618,1370,185030,20,39061,36,0,0,0,3996737573,5522768
3533524947685,49358,1370,182123,22,39188,38,0,0,0,3996737573,5212560
3533524962214,50728,1370,179466,23,20261,39,0,0,0,3996737573,5536478
3533524973635,52098,1370,177152,19,20118,40,0,0,0,3996737573,5740585
3533524999611,53468,1370,175153,20,20129,41,0,0,0,3996737573,5815570
3533525055686,54838,1370,173460,21,20155,42,0,0,0,3996737573,5881943
3533525069038,56208,1370,171993,22,20211,43,0,0,0,3996737573,5939352
3533525202450,57578,1370,170842,23,20225,44,0,0,0,3996759493,6117458
3533525218901,58948,1370,169851,24,20358,45,0,0,0,3996759493,6158672
3533525231528,60318,1370,168997,25,20374,46,0,0,0,3996759493,6194605
3533525243509,61688,1370,168262,26,20387,47,0,0,0,3996759493,6225909
3533525263104,63058,1370,167639,27,20399,48,0,0,0,3996759493,6383378
3533525276527,64428,1370,167023,28,20419,49,0,0,0,3996759493,6407100
3533525289813,65798,1370,166497,27,20347,50,0,0,0,3996759493,6430731
3533525306775,67168,1370,166053,28,20360,51,0,0,0,3996759493,6451047
3533525320965,68538,1370,165679,29,20377,52,0,0,0,3996759493,6600302
3533525332512,69908,1370,165214,30,20391,53,0,0,0,3996759493,6615201
3533525361290,71278,1370,164836,21,20251,54,0,0,0,3996759493,6633820
3533525420266,75388,1370,164564,22,20280,57,0,0,0,3996759493,6649032
3533541176625,76758,1370,180082,25,20339,58,0,0,0,3996782783,6793223
3533541226261,78128,1370,193710,26,36095,59,0,0,0,3996782783,6207838
3533541243784,79498,1370,205652,27,36145,60,0,0,0,3996782783,5884259
3533541260087,80868,1370,216118,28,36162,61,0,0,0,3996782783,5542567
3533541270839,82238,1370,225286,29,36179,62,0,0,0,3996782783,5274155
3533541283514,83608,1370,233321,30,36189,63,0,0,0,3996782783,5059524
3533541294420,84978,1370,240362,31,36202,64,0,0,0,3996782783,4979234
3533541304816,86348,1370,246533,32,36213,65,0,0,0,3996782783,4833376
3533541316201,87718,1370,251945,33,36223,66,0,0,0,3996782783,4712391
3533541328068,89088,1370,256692,34,36235,67,0,0,0,3996782783,4611165
3533558982926,90458,1370,278500,35,36247,68,0,0,0,3996782783,4611285
3533559051859,91828,1370,297651,36,53901,69,0,0,0,3996782783,4250197
3533559069242,93198,1370,314426,37,53970,70,0,0,0,3996782783,3976737
3533559082082,94568,1370,329117,38,53988,71,0,0,0,3996782783,3764574
3533559093860,95938,1370,341983,39,54001,72,0,0,0,3996782783,3663134
3533559106995,97308,1370,333499,40,54012,73,0,0,0,3996782783,3525321
3533559118602,98678,1370,326087,39,39083,74,0,0,0,3996782783,3615003
3533573774201,99686,1370,334258,40,39083,75,0,0,0,3996782783,3697172
3533573813343,101056,1370,341213,41,48973,76,0,0,0,3996782783,3672372
3533573826278,102426,1370,347312,33,48744,77,0,0,0,3996782783,3597518
3533573840731,103796,1370,352662,34,48757,78,0,0,0,3996782783,3534343
3533585320363,105166,1370,368824,35,48771,79,0,0,0,3996808813,3480726
3533585364781,106536,1370,383009,36,60251,80,0,0,0,3996808813,3387632
3533585388334,107906,1370,395445,37,60295,81,0,0,0,3996808813,3262168
3533585405565,109276,1370,406344,38,60319,82,0,0,0,3996808813,3159579
3533585419972,110646,1370,415894,39,60336,83,0,0,0,3996808813,3074833
3533585428733,112016,1370,424260,40,60350,84,0,0,0,3996808813,3056932
3533585436562,113386,1370,431588,41,60359,85,0,0,0,3996808813,2996652
3533585444600,114756,1370,438008,42,60367,86,0,0,0,3996808813,2945772
3533585452419,116126,1370,443633,43,60375,87,0,0,0,3996808813,2902595
3533585460048,117496,1370,448563,44,60383,88,0,0,0,3996808813,2915202
3533585467867,118866,1370,452884,45,60391,89,0,0,0,3996808813,2883162
3533585475417,120236,1370,456673,46,60398,90,0,0,0,3996808813,2855653
3533585483023,121606,1370,459996,47,60406,91,0,0,0,3996808813,2831960
3533585498743,122976,1370,454257,48,60414,92,0,0,0,3996808813,2859155
3533585518157,124346,1370,449255,35,60078,93,0,0,0,3996808813,2895277
3533585526368,125716,1370,444887,36,60098,94,0,0,0,3996808813,2927513
3533585534067,127086,1370,441073,37,60106,95,0,0,0,3996808813,2956256
3533585541866,128456,1370,437742,38,60114,96,0,0,0,3996808813,3031516
3533585549839,129826,1370,434836,39,60121,97,0,0,0,3996808813,3054584
3533585557493,131196,1370,432301,40,60129,98,0,0,0,3996808813,3074998
3533585568420,132566,1370,430094,41,60137,99,0,0,0,3996808813,3093030
3533585576568,133936,1370,428171,42,60148,100,0,0,0,3996808813,3159867
3533585584288,135306,1370,426496,43,60156,101,0,0,0,3996808813,3174058
3533585592093,136676,1370,425038,44,60164,102,0,0,0,3996808813,3186524
3533585600195,138046,1370,423771,45,60172,103,0,0,0,3996808813,3197455
3533585615360,139416,1370,422677,46,60180,104,0,0,0,3996808813,3258741
3533585627884,140786,1370,421732,47,60195,105,0,0,0,3996808813,3267175
3533602811918,142156,1370,438089,48,60207,106,0,0,0,3996833473,3274496
3533602861224,143526,1370,452451,49,77391,107,0,0,0,3996833473,3152236
3533602872858,144896,1370,465029,50,77441,108,0,0,0,3996833473,3100623
3533602884842,146266,1370,432047,51,77452,109,0,0,0,3996833473,3016758
3533612378155,149006,1370,412682,31,52662,111,0,0,0,3996833473,3247054
3533612431357,151746,1370,395790,33,52662,113,0,0,0,3996833473,3452537
3533612447227,154486,1370,381026,35,52662,115,0,0,0,3996833473,3599888
3533612460318,157226,1370,368120,37,52662,117,0,0,0,3996833473,3796906
3533617925310,159966,1370,362292,39,52662,119,0,0,0,3996863613,3930022
3533636708556,162706,1370,375976,41,52662,121,0,0,0,3996863613,4053746
3533636757764,165446,1370,387998,43,62868,123,0,0,0,3996863613,3906206
3533636774278,168186,1370,398535,45,62917,125,0,0,0,3996863613,3841669
3533636784985,170926,1370,407765,47,62934,127,0,0,0,3996863613,3740098
3533636797566,173666,1370,407823,49,62944,129,0,0,0,3996863613,3709195
3533636823180,176406,1370,407900,24,52031,131,0,0,0,3996863613,3708667
3533636833385,179146,1370,407977,26,52031,133,0,0,0,3996863613,3761706
3533636843039,181886,1370,408054,28,52031,135,0,0,0,3996863613,3760996
3533636852940,184626,1370,408131,30,52031,137,0,0,0,3996863613,3814005
3533636862964,187366,1370,408208,32,52031,139,0,0,0,3996863613,3813285
3533636873238,190106,1370,408286,34,52031,141,0,0,0,3996863613,3866264
3533636883494,192846,1370,408365,36,52031,143,0,0,0,3996863613,3865525
3533636893917,195586,1370,408444,38,52031,145,0,0,0,3996863613,3918455
3533656694456,198326,1370,401414,40,52031,147,0,0,0,3996923893,3917697
