now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3213421572412,1,1370,100040,0,0,1,0,0,1,3742160199,18446744073709551615
3213429680322,38,1370,95460,0,0,2,0,0,1,3742160236,2191123
3213549897983,1408,1370,199250,1,7925,3,0,0,1,3742175306,2296249
3213549954526,2778,1370,290123,1,7925,4,0,0,0,3742175306,1210138
3213549963362,4148,1370,369646,1,7925,5,0,0,0,3742175306,906649
3213550067238,5518,1370,439333,1,7925,6,0,0,0,3742180786,770899
3213550087898,6888,1370,500329,1,7925,7,0,0,0,3742180786,698513
3213550118778,8258,1370,553653,1,7925,8,0,0,0,3742180786,657167
3213550134662,8258,1370,600328,1,7925,9,0,0,0,3742180786,633465
3213553957151,8258,1370,644991,1,7925,10,0,0,0,3742180786,584213
3213554025709,8258,1370,684140,1,7925,11,0,0,0,3742180786,543759
3213559761248,8258,1370,697365,1,7925,12,1,1,0,3742180786,173017
3213559842148,8258,1370,620069,1,7925,13,1,1,0,3742182156,169736
3213559875226,8258,1370,552468,8,115793,14,1,1,0,3742182156,212105
3213559905750,8258,1370,493347,9,115793,15,1,1,0,3742184896,238059
3213559916504,8258,1370,441627,10,115793,16,1,1,0,3742184896,319904
3213562154804,20588,1370,392424,11,115793,17,0,1,0,3742187636,357369
3213571676034,21958,1370,355246,6,122489,18,0,1,0,3742195856,368662
3213571703864,23328,1370,322663,6,98782,19,0,1,0,3742195856,407244
3213571717140,24698,1370,294167,5,11828,20,0,1,0,3742195856,448368
3213571725048,26068,1370,269200,6,11842,21,0,1,0,3742195856,491802
3213571733072,27438,1370,247361,5,11809,22,0,1,0,3742195856,537414
3213577938703,28808,1370,229000,6,11817,23,0,1,0,3742202706,584861
3213577996103,30178,1370,212992,6,15784,24,0,1,0,3742204076,631755
3213578039466,31548,1370,194675,7,15842,25,0,1,0,3742205446,679236
3213578052919,32918,1370,178661,8,15885,26,0,1,0,3742205446,743146
3213578086438,34288,1370,164683,9,15898,27,0,1,0,3742208186,809757
3213578099756,35658,1370,152465,10,15932,28,0,1,0,3742208186,958350
3213578114192,37028,1370,138687,11,15945,29,0,1,0,3742208186,1035149
3213578161082,38398,1370,126679,7,12912,30,0,1,0,3742213666,1137986
3213578184134,39768,1370,116195,8,12912,31,0,1,0,3742213666,1245857
3213578223378,41138,1370,107060,9,12912,32,0,1,0,3742213666,1358268
3213579843391,42508,1370,100687,10,12912,33,0,1,0,3742213666,1474164
3213597595276,45248,1370,107736,11,12912,35,0,1,0,3742219146,1567471
3213597669878,47988,1370,113876,11,19599,37,0,1,0,3742221886,1464914
3213597683971,50728,1370,119204,11,19617,39,0,1,0,3742221886,1385928
3213597693293,53468,1370,123876,10,19569,41,0,1,0,3742221886,1323982
3213605956090,56208,1370,126580,12,19579,43,0,1,0,3742230106,1274048
3213606086665,58948,1370,129076,10,26113,45,0,1,0,3742232846,1246832
3213606104028,61688,1370,121424,12,26243,47,0,1,0,3742232846,1222721
3213606154241,64428,1370,114702,12,19608,49,0,1,0,3742238326,1299775
3213611074715,67168,1370,113741,8,19577,51,0,1,0,3742238326,1375948
3213611205748,69908,1370,113031,10,19577,53,0,1,0,3742243806,1387573
3213611247273,72648,1370,104162,12,19577,55,0,1,0,3742246546,1396289
3213611260505,75388,1370,96291,12,18220,57,0,1,0,3742246546,1515178
3213611274990,78128,1370,89418,10,8489,59,0,1,0,3742246546,1639031
3213625428397,80868,1370,92559,12,8489,61,0,1,0,3742254766,1765013
3213625543002,83608,1370,95423,10,14354,63,0,1,0,3742257506,1705117
3213625562778,86348,1370,97841,12,14469,65,0,1,0,3742257506,1653940
3213625619769,89088,1370,99950,12,14357,67,0,1,0,3742262986,1613066
3213625637000,91828,1370,101814,8,14345,69,0,1,0,3742262986,1579029
3213625652178,94568,1370,103460,10,14363,71,0,1,0,3742262986,1550120
3213643340888,97308,1370,108404,12,14378,73,0,1,0,3742271206,1525459
3213643428392,100048,1370,112710,12,17912,75,0,1,0,3742275316,1577211
3213643442061,102788,1370,116492,10,17866,77,0,1,0,3742275316,1516955
3213643477666,105528,1370,119748,12,17880,79,0,1,0,3742280796,1467705
3213643487596,108268,1370,122607,8,17825,81,0,1,0,3742280796,1427798
3213643495723,111008,1370,125117,10,17835,83,0,1,0,3742280796,1394504
3213770306118,113748,1370,236422,12,17843,85,0,1,0,3742290386,1471646
3213770422644,115118,1370,333930,12,126966,86,0,1,0,3742293126,778810
3213770436046,117858,1370,419178,13,127082,88,0,1,0,3742293126,551396
3213770466314,120598,1370,493800,11,126994,90,0,1,0,3742295866,439259
3213770476982,123338,1370,559051,13,127024,92,0,1,0,3742295866,372879
3213770485134,126078,1370,616155,9,126981,94,0,1,0,3742295866,329358
3213770494646,128818,1370,666130,11,126990,96,0,1,0,3742295866,298833
3213770502318,130188,1370,709866,13,126999,97,0,1,0,3742295866,276414
3213780733182,132928,1370,631524,14,127007,99,0,1,0,3742309566,259384
3213780818640,135668,1370,562962,14,126980,101,0,1,0,3742312306,291561
3213780849302,138408,1370,499390,13,126993,103,0,1,0,3742312306,327070
3213780866647,141148,1370,443782,6,130551,105,0,1,0,3742312306,368705
3213782993298,143888,1370,394051,8,130551,107,0,1,0,3742315046,414906
3213783040687,146628,1370,350583,10,133752,109,0,1,0,3742315046,467269
3213786032210,149368,1370,313514,12,133752,111,0,1,0,3742323266,525205
3213799695513,152108,1370,293263,14,135779,113,0,1,0,3742327376,587303
3213799731347,154848,1370,275448,14,18962,115,0,1,0,3742327376,627859
3213799761182,157588,1370,257721,10,18865,117,0,1,0,3742327376,668467
3213799790031,158958,1370,242239,8,16721,118,0,1,0,3742327376,714447
3213799817469,161698,1370,228634,9,16750,120,0,1,0,3742327376,760108
3213799826740,163068,1370,216738,11,16777,121,0,1,0,3742327376,805339
3213809282965,165808,1370,208964,12,16786,123,0,1,0,3742338336,849541
3213809378819,167178,1370,202258,12,23250,124,0,1,0,3742345186,944086
3213809391280,169918,1370,186536,13,23346,126,0,1,0,3742345186,975387
3213813421258,172658,1370,176809,5,16688,128,0,1,0,3742350666,1057597
3213813458801,175398,1370,163235,7,16688,130,0,1,0,3742350666,1115780
