now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3452512577740,1,1370,84040,0,0,1,0,0,1,220024038,18446744073709551615
3452536786707,38,1370,97597,0,0,2,0,0,1,220024075,2608281
3452560099293,1408,1370,103769,1,24062,3,0,0,1,220037775,2245970
3452560230840,2778,1370,109300,1,18371,4,0,0,0,220040515,2323622
3452560245897,4148,1370,114155,2,18502,5,0,0,0,220040515,2406587
3452560259040,5518,1370,118417,3,18517,6,0,0,0,220040515,2496255
3452560320317,6888,1370,122207,4,18531,7,0,0,0,220048735,2591519
3452560340406,8258,1370,125485,5,18592,8,0,0,0,220048735,2690516
3452560356346,9628,1370,128369,6,18612,9,0,0,0,220048735,2794915
3452560450917,12368,1370,130986,7,18628,11,0,0,0,220056955,2902881
3452560464254,13738,1370,133290,9,18722,12,0,0,0,220056955,3179576
3452569351269,15108,1370,125827,10,18736,13,0,0,0,220065175,3289068
3452569480051,16478,1370,119426,10,18425,14,0,0,0,220067915,3658356
3452569500416,17848,1370,113733,11,18425,15,0,0,0,220067915,4037981
3452569511146,19218,1370,108763,9,18537,16,0,0,0,220067915,4432838
3452569521123,20588,1370,104424,10,18537,17,0,0,0,220067915,4836939
3452569531557,23328,1370,100637,11,18537,19,0,0,0,220067915,5247835
3452569625110,24698,1370,97418,13,18537,20,0,0,0,220084355,5880938
3452569642473,27438,1370,94521,14,18537,22,0,0,0,220084355,6300273
3452569703096,30178,1370,92047,13,18575,24,0,0,0,220092575,6957184
3452569717020,32918,1370,89897,15,18575,26,0,0,0,220092575,7620454
3452569793244,35658,1370,82770,17,18575,28,0,0,0,220103535,8290376
3452571947249,38398,1370,78688,16,23896,30,0,0,0,220109015,9533889
3452586956935,41138,1370,90125,18,23896,32,0,0,0,220114495,10585603
3452587115542,43878,1370,96567,20,26492,34,0,0,0,220119975,9728710
3452587154995,45248,1370,102114,21,17764,35,0,0,0,220119975,9533691
