now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
3439992106704,1,1370,38128,0,0,1,0,0,1,796709414,18446744073709551615
3439999818585,38,1370,40965,0,0,2,0,0,1,796709451,5749055
3440014872702,1408,1370,42198,1,7603,3,0,0,1,796723151,5350909
3440014982477,2778,1370,43387,1,6353,4,0,0,0,796725891,5714014
3440014992895,4148,1370,44437,2,6463,5,0,0,0,796725891,6062645
3440015025499,5518,1370,45389,3,6473,6,0,0,0,796725891,6412674
3440015089003,6888,1370,46286,4,6506,7,0,0,0,796734111,6761109
3440015126472,8258,1370,47047,5,6570,8,0,0,0,796734111,7103659
3440015140429,9628,1370,47727,6,6607,9,0,0,0,796734111,7454672
3440015203135,10998,1370,48385,7,6621,10,0,0,0,796742331,7807739
3440023290610,12368,1370,57047,8,6684,11,0,0,0,796745071,8154593
3440023390987,13738,1370,64727,8,6684,12,0,0,0,796747811,7300646
3440044064963,15108,1370,85785,8,6684,13,0,0,0,796750551,6773062
3440044136005,16478,1370,104282,10,29192,14,0,0,0,796753291,5365973
3440044149011,17848,1370,120363,11,29264,15,0,0,0,796753291,4624383
3440044156703,19218,1370,134441,9,29124,16,0,0,0,796753291,4188662
3440044162082,20588,1370,146765,10,29131,17,0,0,0,796753291,3913091
3440044167158,23328,1370,157554,11,29137,19,0,0,0,796753291,3733860
3440044233852,24698,1370,167060,13,29142,20,0,0,0,796769731,3756426
3440044245510,27438,1370,175277,14,29208,22,0,0,0,796769731,3673889
3440044260079,30178,1370,182482,13,29105,24,0,0,0,796769731,3501657
3440044267531,32918,1370,188793,15,29120,26,0,0,0,796769731,3483521
3440044305695,35658,1370,194270,17,29127,28,0,0,0,796769731,3367073
3440044345590,38398,1370,191006,18,29102,30,0,0,0,796769731,3384979
3440056536323,39768,1370,180652,19,21055,31,0,0,0,796788911,3442823
3440056654335,41138,1370,171710,19,34435,32,0,0,0,796790281,3640147
3440056668174,42508,1370,162809,20,34435,33,0,0,0,796790281,3957369
3440056687491,43878,1370,155039,20,29190,34,0,0,0,796790281,4173725
